key,press_time,release_time,platform_id,session_id,user_ids
'n',1.653421361361188e+18,1.653421361449149e+18,1,1,1
't',1.653421361481065e+18,1.653421361553261e+18,1,1,1
'o',1.653421361569094e+18,1.653421361633094e+18,1,1,1
Key.space,1.653421361737023e+18,1.653421361785304e+18,1,1,1
't',1.653421361921133e+18,1.653421362008537e+18,1,1,1
'h',1.653421362032385e+18,1.653421362113142e+18,1,1,1
'e',1.653421362121093e+18,1.653421362217268e+18,1,1,1
Key.space,1.653421362225079e+18,1.653421362289265e+18,1,1,1
'w',1.653421362377163e+18,1.653421362473298e+18,1,1,1
'o',1.653421362585083e+18,1.653421362673017e+18,1,1,1
'r',1.653421362809143e+18,1.653421362913167e+18,1,1,1
'l',1.653421363000925e+18,1.653421363105203e+18,1,1,1
'd',1.653421363280852e+18,1.653421363409142e+18,1,1,1
Key.space,1.653421363417025e+18,1.653421363513128e+18,1,1,1
'o',1.653421363641029e+18,1.653421363705141e+18,1,1,1
'f',1.653421363776552e+18,1.653421363880399e+18,1,1,1
Key.space,1.653421363848424e+18,1.653421363929128e+18,1,1,1
't',1.653421364049109e+18,1.653421364096332e+18,1,1,1
'h',1.653421364081055e+18,1.653421364161008e+18,1,1,1
'e',1.653421364209097e+18,1.653421364272991e+18,1,1,1
Key.space,1.653421364280992e+18,1.65342136436101e+18,1,1,1
'm',1.653421364473166e+18,1.653421364568975e+18,1,1,1
'o',1.653421364625178e+18,1.653421364744548e+18,1,1,1
'v',1.653421364736963e+18,1.653421364841764e+18,1,1,1
'i',1.653421364841193e+18,1.653421361385193e+18,1,1,1
'e',1.653421364944494e+18,1.653421364992818e+18,1,1,1
Key.space,1.653421365024865e+18,1.653421365104928e+18,1,1,1
'a',1.653421365297101e+18,1.653421345889729e+18,1,1,1
'n',1.653421365416979e+18,1.653421365505054e+18,1,1,1
'd',1.653421365473067e+18,1.653421365528987e+18,1,1,1
Key.space,1.653421365592948e+18,1.653421365657035e+18,1,1,1
't',1.653421365664972e+18,1.653421365753805e+18,1,1,1
'h',1.653421365753171e+18,1.653421365832946e+18,1,1,1
'e',1.65342136584137e+18,1.653421365905073e+18,1,1,1
Key.space,1.653421365920816e+18,1.653421365992872e+18,1,1,1
't',1.65342136603294e+18,1.653421366128501e+18,1,1,1
'h',1.653421366121026e+18,1.653421366216929e+18,1,1,1
'e',1.653421366224575e+18,1.653421366320917e+18,1,1,1
'm',1.653421366377064e+18,1.653421366425109e+18,1,1,1
's',1.653421366488929e+18,1.653421366681099e+18,1,1,1
'e',1.653421366601024e+18,1.653421366713088e+18,1,1,1
Key.space,1.653421366745009e+18,1.653421366824977e+18,1,1,1
't',1.653421366832496e+18,1.653421366897083e+18,1,1,1
'h',1.653421366920849e+18,1.653421367033098e+18,1,1,1
